Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
American review of Chinese studies,1538-6333,,"Department of Sociology and Anthropology, Ohio University, Athens, Ohio, 45701, U.S.A.",U.S.A.,Core Coverage - Actively Indexed
American sociological review,0003-1224,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
American sociologist,0003-1232,,Springer,Netherlands,Core Coverage
Ameryka Lacinska,1506-8900,,Centrum Studiow Latynoamerykanskich,Poland,Selective Coverage - Actively Indexed
Amfiteatru economic,1582-9146,,Editura ASE,Romania,Core Coverage - Actively Indexed
"Analele stiintifice ale universitatii ""Alexandru Ioan Cuza Iasi. Serie noua. Sectiunea sociologie si asistenta sociala",2065-3131,,Universitatea Alexandru Ioan Cuza,Romania,Core Coverage - Actively Indexed
Analise social,0003-2573,,Instituto de Ciencias Sociais da Universidade de Lisboa,Portugal,Core Coverage - Actively Indexed
Analyse und Kritik: Zeitschrift fur Sozialtheorie,0171-5860,,Lucius & Lucius Verlagsgesellschaft,Germany,Core Coverage - Actively Indexed
Anarchist studies,0967-3393,,Lawrence & Wishart,United Kingdom,Core Coverage - Actively Indexed
Ancient Mesoamerica,0956-5361,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Andamios,1870-0063,,Andamios,Mexico,Core Coverage - Actively Indexed
Annales aequatoria,0254-4296,,Aequatoria,Belgium,Core Coverage - Actively Indexed
Annales de droit de Louvain,0770-6472,,Bruylant,Belgium,Core Coverage - Actively Indexed
Annales de geographie,0003-4010,,Armand Colin,France,Core Coverage - Actively Indexed
"Annales de l'economie publique, sociale et cooperative/Annals of public and cooperative economics",1370-4788,1467-8292,Wiley-Blackwell Publishing Ltd,Belgium,Core Coverage - Actively Indexed
Annales des mines: Gerer et comprendre,0295-4397,,Annales des mines,France,Core Coverage - Actively Indexed
Annales d'Ethiopie,0066-2127,,Centre Francais des Etudes Ethiopiennes,Ethiopia,Core Coverage - Actively Indexed
Annales internationales de criminologie/International annals of criminology/Anales internacionales de criminologia,0003-4452,,International Society for Criminology,France,Core Coverage - Actively Indexed
Annales Islamologiques,0570-1716,,Institut francais d'archeologie orientale du Caire,Egypt,Core Coverage - Actively Indexed
Annales missiologici posnanienses,1731-6170,,UAM Wydzial Teologiczny,Poland,Selective Coverage - Actively Indexed
"Annales UMCS, sectio K (politologia)",1428-9512,,Versita,Poland,Core Coverage - Actively Indexed
Annales UMCS. sectio I philosophia - sociologia,0137-2025,,Versita,Poland,Core Coverage - Actively Indexed
"Annales: Histoire, sciences sociales",0395-2649,,Armand Colin,France,Core Coverage - Actively Indexed
Annali della Fondazione Luigi Einaudi,0531-9870,,Fondazione Luigi Einaudi,Italy,Core Coverage - Actively Indexed
Annals of economics and statistics/Annales d'economie et de statistique,0769-489X,,Institut national de la statistique et des etudes economiques,France,Core Coverage - Actively Indexed
Annals of regional science,0570-1864,,Springer GmbH,Germany,Core Coverage - Actively Indexed
Annals of the American Academy of Political and Social Science,0002-7162,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Annals of the Association of American Geographers,0004-5608,,"Routledge, Taylor and Francis",U.S.A.,Selective Coverage - Actively Indexed
Annee politique et economique,0003-5025,,Presses Universitaires de France,France,Selective Coverage - Actively Indexed
Annee sociologique,0066-2399,,Presses Universitaires de France,France,Core Coverage - Actively Indexed
Annuaire de l'Afrique du Nord,0242-7540,,Editions du Centre national de la recherche scientifique,France,Core Coverage - Actively Indexed
Annuaire des pays de l'Ocean indien,0247-400X,,Editions du Centre National de la Recherche Scientifique,France,Core Coverage - Actively Indexed
Annuaire francais de droit international,0066-3085,,Editions du Centre National de la Recherche Scientifique,France,Selective Coverage - Actively Indexed
Annuaire francais de relations internationales,1377-1280,,Bruylant,Belgium,Selective Coverage - Actively Indexed
Annuaire strategique et militaire,1638-3931,,Odile Jacob,France,Core Coverage - Actively Indexed
Annual review of anthropology,0084-6570,,Annual Reviews,U.S.A.,Core Coverage - Actively Indexed
Annual review of political science,1094-2939,,Annual Reviews,U.S.A.,Core Coverage - Actively Indexed
Annual review of sociology,0360-0572,,Annual Reviews,U.S.A.,Core Coverage - Actively Indexed
Anthropological forum,0066-4677,1469-2902,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Anthropological journal of European cultures,1755-2923,,Berghahn Books,United Kingdom,Core Coverage - Actively Indexed
Anthropological linguistics,0003-5483,,American Indian Studies Research Institute,U.S.A.,Core Coverage - Actively Indexed
Anthropological notebooks,1408-032X,,Slovene Anthropological Society,Slovenia,Core Coverage - Actively Indexed
Anthropological papers of the American Museum of Natural History,0065-9452,,American Museum of Natural History,U.S.A.,Core Coverage - Actively Indexed
Anthropological quarterly,0003-5491,,"George Washington University, Institute for Ethnographic Research",U.S.A.,Core Coverage - Actively Indexed
Anthropological review,1898-6773,2083-4594,Versita,Poland,Core Coverage - Actively Indexed
Anthropological science,0918-7960,,Anthropological Society of Nippon,Japan,Core Coverage - Actively Indexed
Anthropological theory,1463-4996,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Anthropologie [Brno],0323-1119,,"Moravian Museum, Anthropos Institute",Czech Republic,Core Coverage - Actively Indexed
Anthropologie [Paris],0003-5521,,Elsevier Masson,France,Core Coverage - Actively Indexed
Anthropologist: international journal of contemporary and applied studies of man,0972-0073,,Kamla Raj Enterprises,India,Core Coverage - Actively Indexed
Anthropology and education quarterly,0161-7761,,Wiley-Blackwell Publishing Ltd,U.S.A.,Core Coverage - Actively Indexed
Anthropology and humanism,1559-9167,,John Wiley and Sons,U.S.A.,Core Coverage - Actively Indexed
Anthropology and medicine,1364-8470,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Anthropology of the Middle East,1746-0719,,Berghahn Books,U.S.A.,Core Coverage - Actively Indexed
Anthropology Southern Africa,0258-0144,,Forum Press,South Africa,Core Coverage - Actively Indexed
Anthropology today,0268-540X,,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Anthropos [St. Augustin],0257-9774,,Anthropos Institut,Germany,Core Coverage - Actively Indexed
Antipoda: Revista de antropologia y arqueologia,1900-5407,,Universidad de Los Andes,Colombia,Core Coverage - Actively Indexed
Antipode,0066-4812,1467-8330,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Antiquity,0003-598X,,Antiquity Publications Ltd.,United Kingdom,Core Coverage - Actively Indexed
Anuario de estudios centroamericanos,0377-7316,,"Universidad de Costa Rica, Instituto de Investigaciones Sociales",Costa Rica,Core Coverage - Actively Indexed
Applied econometrics and international development,1578-4487,,Euro-American Association of Economic Development,Spain,Core Coverage - Actively Indexed
Applied economics,0003-6846,1466-4283,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Applied economics letters,1350-4851,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Applied economics quarterly,1611-6607,,Duncker & Humblot,Germany,Core Coverage - Actively Indexed
Applied financial economics,0960-3107,1466-4305,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Applied linguistics,0142-6001,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Apuntes,0252-1865,2223-1757,Revista Apuntes,Peru,Core Coverage - Actively Indexed
Arab studies journal,1083-4753,,"Georgetown University, Center for Contemporary Arab Studies",U.S.A.,Core Coverage - Actively Indexed
Arab world geographer,1480-6800,,Arab World Geographer,U.S.A.,Core Coverage - Actively Indexed
Arabica,0570-5398,,Brill Academic Publishers,Netherlands,Core Coverage - Actively Indexed
"Arbeit: Zeitschrift fur Arbeitsforschung, Arbeitsgestaltung und Arbeitspolitik",0941-5025,,Lucius & Lucius,Germany,Selective Coverage - Actively Indexed
Arcana: Polityka Kultura Historia,1233-6882,,Arcana,Poland,Selective Coverage - Actively Indexed
Archaeobios,1996-5214,,Centro de Investigaciones Arqueobiologicas y Paleoecologicas Andinas,Peru,Core Coverage - Actively Indexed
Archaeological papers of the AAA,1551-823X,,John Wiley and Sons,U.S.A.,Core Coverage - Actively Indexed
Archaeology in Oceania,0003-8121,,Oceania Publications,Australia,Core Coverage - Actively Indexed
Archiv des offentlichen Rechts,0003-8911,,Mohr Siebeck GmbH & Co.,Germany,Core Coverage - Actively Indexed
Archiv des Volkerrechts,0003-892X,,Mohr Siebeck GmbH,Germany,Core Coverage - Actively Indexed
Archiv fur Rechts- und Sozialphilosophie/Archives de philosophie du droit et de philosophie sociale/Archives for philosophy of law and social philosophy/Archivo de filosofia juridica y social,0001-2343,,Franz Steiner Verlag,Germany,Core Coverage - Actively Indexed
Archiv fur Sozialgeschichte,0066-6505,,Verlag J.H.W. Dietz Nachf. GmbH,Germany,Core Coverage - Actively Indexed
Archiv orientalni: quarterly journal of African and Asian studies,0044-8699,,Academia Publishing House,Czech Republic,Core Coverage - Actively Indexed
Archives de philosophie,0003-9632,,Centre Sevres,France,Core Coverage - Actively Indexed
Archives de politique criminelle,0242-5637,,Equipe de recherche sur la politique criminelle,France,Selective Coverage - Actively Indexed
Archives de sciences sociales des religions,0335-5985,,Editions de l'EHESS,France,Selective Coverage - Actively Indexed
Archives europeennes de sociologie/European journal of sociology/Europaisches Archiv fur Soziologie,0003-9756,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Archives of suicide research,1381-1118,1543-6136,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Arctic anthropology,0066-6939,,University of Wisconsin Press,U.S.A.,Core Coverage - Actively Indexed
Area,0004-0894,1475-4762,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Arena journal,1320-6567,,Arena Printing and Publishing,Australia,Core Coverage - Actively Indexed
