Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
"Intersections: Gender, history & culture in the Asian context",1440-9151,,Australian National University,Australia,Core Coverage - Actively Indexed
Intersezioni: rivista di storia delle idee,0393-2451,,il Mulino,Italy,Core Coverage - Actively Indexed
Intervention: Zeitschrift fur Okonomie,1613-0960,,Marburger Institut fur Wirtschafts- und Politikforschung,Germany,Selective Coverage - Actively Indexed
Interventions: international journal of postcolonial studies,1369-801X,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Investigaciones Europeas de direccion y economia de la empresa,1135-2523,,Academia Europea de Direccion y Economia de la Empresa,Spain,Core Coverage - Actively Indexed
Investment management and financial innovations,1810-4967,1812-9358,Business Perspectives Publishing Company,Ukraine,Core Coverage - Actively Indexed
Inzinerine Ekonomika/Engineering economics,1392-2785,,Technologija,Lithuania,Core Coverage - Actively Indexed
Iran and the Caucasus,1609-8498,,Brill Academic Publishers,Netherlands,Core Coverage - Actively Indexed
Iran nameh,0892-4147,,Foundation for Iranian Studies,U.S.A.,Core Coverage - Actively Indexed
Irinkerindo: A journal of African migration,1540-7497,,"Department of Political Science, Brooklyn College, CUNY",U.S.A.,Core Coverage - Actively Indexed
Irish journal of sociology,0791-6035,,Manchester University Press,Ireland,Core Coverage - Actively Indexed
Irish political studies,0790-7184,1743-9078,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Irish review,0790-7850,,Cork University Press,Ireland,Core Coverage - Actively Indexed
Irish studies in international affairs,0332-1460,,Royal Irish Academy,Ireland,Core Coverage - Actively Indexed
Isis,0021-1753,,University of Chicago Press,U.S.A.,Core Coverage - Actively Indexed
Islam and Christian-Muslim relations,0959-6410,,"Routledge, Taylor and Francis Ltd.",United Kingdom,Core Coverage - Actively Indexed
Islam et societes au sud du Sahara,0984-7685,,Editions de la Maison des Sciences de l'Homme,France,Core Coverage - Actively Indexed
Islam: Zeitschrift fur Geschichte und Kultur des islamischen Orients,0021-1818,,Walter de Gruyter GmbH,Germany,Core Coverage - Actively Indexed
Islamic law and society,0928-9380,,Brill Academic Publishers,Netherlands,Core Coverage - Actively Indexed
Israel affairs,1353-7121,1743-9086,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Israel law review,0021-2237,,Cambridge University Press,Israel,Core Coverage - Actively Indexed
Israel studies,1084-9513,,Indiana University Press,U.S.A.,Core Coverage - Actively Indexed
Israel studies in language and society,1565-9682,,Israeli Association for the Study of Language and Society,Israel,Core Coverage - Actively Indexed
Israel yearbook on human rights,0333-5925,,Martinus Nijhoff Publishers,Netherlands,Core Coverage - Actively Indexed
Issues and studies,1013-2511,,"National Chengchi University, Institute of International Relations",Taiwan,Core Coverage - Actively Indexed
Istorija 20. veka,0352-3160,,Institut za savremenu istoriju,Serbia,Core Coverage - Actively Indexed
IUP journal of monetary economics,0972-9291,,IUP Publications,India,Core Coverage - Actively Indexed
IW-Trends: Vierteljahrliche Zeitschrift zur empirischen Wirtschaftsforschung aus dem Institut der Deutschen Wirtschaft Koln,0941-6838,,Institut der Deutschen Wirtschaft Koln,Germany,Selective Coverage - Actively Indexed
Iyunim bitkumat Israel,0792-7169,,Ben Gurion University of the Negev Press,Israel,Core Coverage - Actively Indexed
Jahrbuch des offentlichen Rechts der Gegenwart,0075-2517,,J.C.B. Mohr (Paul Siebeck),Germany,Core Coverage - Actively Indexed
Jahrbuch fur christliche Sozialwissenschaften,0075-2584,,Institut fur christliche Sozialwissenschaften,Germany,Core Coverage - Actively Indexed
Jahrbuch fur Geschichte Lateinamerikas,1438-4752,,Bohlau-Verlag GmbH & Cie,Germany,Core Coverage - Actively Indexed
Jahrbuch fur Kommunikationsgeschichte,1438-4485,,Franz Steiner Verlag,Germany,Core Coverage - Actively Indexed
Jahrbuch fur Regionalwissenschaft,0173-7600,,Physica-Verlag,Germany,Selective Coverage - Actively Indexed
Jahrbuch fur Wirtschaftsgeschichte,0075-2800,,Akademie Verlag GmbH,Germany,Core Coverage - Actively Indexed
Jahrbuch fur Wirtschaftswissenschaften,0948-5139,,Lucius & Lucius Verlagsgesellschaft,Germany,Core Coverage - Actively Indexed
Jahrbuch zur Mittelstandsforschung,1617-2523,,DUV,Germany,Selective Coverage - Actively Indexed
Jahrbucher fur Geschichte Osteuropas,0021-4019,,Franz Steiner Verlag,Germany,Core Coverage - Actively Indexed
Jahrbucher fur Nationalokonomie und Statistik,0021-4027,,Lucius & Lucius Verlagsgesellschaft,Germany,Core Coverage - Actively Indexed
Japan and the world economy,0922-1425,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Japan forum,0955-5803,1469-932X,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Japanese accounting review,2185-4785,,"Kobe University, Research Institute for Economics and Business administration",Japan,Core Coverage - Actively Indexed
Japanese economic review,1352-4739,,Blackwell Publishing,Japan,Core Coverage - Actively Indexed
Japanese journal of political science,1468-1099,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Japanese studies,1037-1397,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Japanese yearbook of international law,0448-8806,,International Law Association of Japan,Japan,Core Coverage - Actively Indexed
Javnost/Public,1318-3222,,European Institute for Communication and Culture,Slovenia,Core Coverage - Actively Indexed
Jazykovedny casopis,0021-5597,,Slovak Academic Press,Slovakia,Core Coverage - Actively Indexed
JCOM: Journal of science communication,1824-2049,,International School for Advanced Studies,Italy,Core Coverage - Actively Indexed
Jewish journal of sociology,0021-6534,,Maurice Freedman Research Trust,United Kingdom,Core Coverage - Actively Indexed
Jewish social studies,0021-6704,,Indiana University Press,U.S.A.,Core Coverage - Actively Indexed
Jogtudomanyi kozlony,0021-7166,,Jogtudomanyi Kozlony,Hungary,Selective Coverage - Actively Indexed
Joint U.S.-Korea academic studies,1054-6944,,"Korea Economic Institute of America, Publications Department",U.S.A.,Core Coverage - Actively Indexed
Journal de la paix,0021-7794,,L'Harmattan,France,Core Coverage - Actively Indexed
Journal de la Societe des Americanistes,1957-7842,,Universite de Paris X (Nanterre),France,Core Coverage - Actively Indexed
Journal de la Societe des Oceanistes,0300-953X,,"Musee de l'Homme, Societe des Oceanistes",France,Core Coverage - Actively Indexed
Journal for cultural research,1479-7585,,"Routledge, Taylor & Francis",United Kingdom,Core Coverage - Actively Indexed
Journal for East European management studies,0949-6181,,Rainer Hampp Verlag,Germany,Core Coverage - Actively Indexed
Journal for geography,1854-665X,,Filozofska fakulteta UM Knjigarna,Slovenia,Core Coverage - Actively Indexed
Journal for juridical science,0258-252X,,University of the Free State,South Africa,Core Coverage - Actively Indexed
Journal for Perspectives of Economic Political and Social Integration. Journal for Mental Changes,1733-3911,,Versita,Poland,Core Coverage - Actively Indexed
Journal for the scientific study of religion,0021-8294,1468-5906,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal for the theory of social behaviour,0021-8308,,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal fur Entwicklungspolitik,0258-2384,,Mattersburger Kreis fur Entwicklungspolitik an den osterreichischen Universitaten,Austria,Core Coverage - Actively Indexed
Journal of accounting and economics,0165-4101,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of accounting and management,1848-137X,,"Udruga ""Hrvatski racunovoda""",Croatia,Core Coverage - Actively Indexed
Journal of accounting and public policy,0278-4254,,Elsevier Science,U.S.A.,Core Coverage - Actively Indexed
Journal of accounting research,0021-8456,1475-679X,Wiley-Blackwell Publishing Ltd.,U.S.A.,Core Coverage - Actively Indexed
Journal of advertising,0091-3367,,M.E. Sharpe,U.S.A.,Core Coverage - Actively Indexed
Journal of African archaeology,1612-1651,,Africa Magna Verlag,Germany,Core Coverage - Actively Indexed
Journal of African business,1522-8916,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of African cinemas,1754-9221,,Intellect books,United Kingdom,Core Coverage - Actively Indexed
Journal of African cultural studies,1369-6815,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of African economies,0963-8024,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Journal of African history,0021-8537,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Journal of African law,0021-8553,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Journal of African media studies,2040-199X,,Intellect,United Kingdom,Core Coverage - Actively Indexed
Journal of agribusiness and rural development,1899-5772,,University of Life Sciences in Poznan,Poland,Core Coverage - Actively Indexed
Journal of agricultural economics,0021-857X,,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of American studies,0021-8758,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Journal of anthropological archaeology,0278-4165,,Academic Press,U.S.A.,Core Coverage - Actively Indexed
Journal of anthropological research,0091-7710,,"University of New Mexico, Department of Anthropology",U.S.A.,Core Coverage - Actively Indexed
Journal of applied business research,0892-7626,,Clute Institute,U.S.A.,Core Coverage - Actively Indexed
Journal of applied econometrics,0883-7252,1099-1255,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of applied economics,1514-0326,,Universidad del CEMA,Argentina,Core Coverage - Actively Indexed
Journal of applied psychology,0021-9010,,American Psychological Association,U.S.A.,Core Coverage - Actively Indexed
Journal of archaeological method and theory,1072-5369,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of archaeological research,1059-0161,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of artificial societies and social simulation,1460-7425,,University of Surrey,United Kingdom,Core Coverage - Actively Indexed
Journal of Asian and African studies,0021-9096,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Journal of Asian business,1068-0055,,Center for International Business Education,U.S.A.,Core Coverage - Actively Indexed
Journal of Asian public policy,1751-6234,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of Asian studies,0021-9118,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Journal of Asia-Pacific business,1059-9231,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of Australian political economy,0156-5826,,Australian Political Economy Movement,Australia,Core Coverage - Actively Indexed
Journal of Australian studies,1444-3058,,Taylor & Francis Australasia,Australia,Core Coverage - Actively Indexed
Journal of Ayn Rand studies,1526-1018,,Journal of Ayn Rand Studies Foundation,U.S.A.,Selective Coverage - Actively Indexed
Journal of Balkan and Near Eastern studies,1944-8953,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of Baltic studies,0162-9778,,"Routledge, Taylor and Francis",United Kingdom,Core Coverage - Actively Indexed
Journal of banking and finance,0378-4266,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of behavioral decision making,0894-3257,,"John Wiley & Sons, Ltd.",United Kingdom,Core Coverage - Actively Indexed
Journal of biosocial science,0021-9320,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Journal of black psychology,0095-7984,,Sage Publications Ltd,U.S.A.,Core Coverage - Actively Indexed
Journal of black studies,0021-9347,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Journal of British studies,0021-9371,,Cambridge University Press,U.S.A.,Core Coverage - Actively Indexed
Journal of Burma studies,2010-0302,,Northern Illinois University,U.S.A.,Core Coverage - Actively Indexed
Journal of business ethics,0167-4544,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of business finance and accounting,0306-686X,1468-5957,Wiley-Blackwell Publising Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of business research,0148-2963,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of Canadian studies/Revue d'etudes canadiennes,0021-9495,,Journal of Canadian Studies,Canada,Core Coverage - Actively Indexed
Journal of child and family studies,1062-1024,,Springer,U.S.A.,Core Coverage - Actively Indexed
Journal of children and poverty,1079-6126,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of Chinese economic and business studies,1476-5284,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of Chinese economic and foreign trade studies,1754-4408,,Emerald Group Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of Chinese entrepreneurship,1756-1396,,Emerald Group Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of Chinese philosophy,0301-8121,,Blackwell Publishing,U.S.A.,Core Coverage - Actively Indexed
Journal of Chinese Political Science,1080-6954,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of civil society,1744-8689,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Journal of classical sociology,1468-795X,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Journal of cognition and culture,1567-7095,,Brill Academic Publishers,Netherlands,Core Coverage - Actively Indexed
Journal of cognitive and behavioral psychotherapies,1584-7101,,Romanian Association of Hypnosis and Cognitive Behavioral Psychotherapy,Romania,Core Coverage - Actively Indexed
Journal of Common Market studies,0021-9886,1468-5965,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of communication,0021-9916,,Wiley-Blackwell Publishing Ltd.,U.S.A.,Core Coverage - Actively Indexed
Journal of communication [Delhi],0976-691X,,Kamla Raj Enterprises,India,Core Coverage - Actively Indexed
Journal of community and applied social psychology,1052-9284,1099-1298,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of community informatics,1712-4441,,CCIRDT,Canada,Selective Coverage - Actively Indexed
Journal of comparative economics,0147-5967,,Elsevier Science,U.S.A.,Core Coverage - Actively Indexed
Journal of comparative family studies,0047-2328,,Journal of Comparative Family Studies,Canada,Core Coverage - Actively Indexed
Journal of comparative policy analysis: research and practice,1387-6988,,Taylor & Francis,Netherlands,Core Coverage - Actively Indexed
Journal of comparative politics,1338-1385,,"Pan European University, Bratislava",Slovakia,Core Coverage - Actively Indexed
Journal of comparative social welfare,1748-6831,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Journal of conflict resolution,0022-0027,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Journal of consumer behaviour,1472-0817,,John Wiley & Sons Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of consumer culture,1469-5405,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Journal of consumer policy,0168-7034,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of contemporary African studies,0258-9001,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of contemporary Asia,0047-2336,1752-7554,Taylor and Francis Ltd.,Philippines,Core Coverage - Actively Indexed
Journal of contemporary China,1067-0564,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of contemporary criminal justice,1043-9862,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Journal of contemporary ethnography,0891-2416,,Sage Publications Ltd,U.S.A.,Core Coverage - Actively Indexed
Journal of contemporary European studies,1478-2804,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of contemporary history,0022-0094,,Sage Publications Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of contemporary management issues,1331-0194,,"University of Split, Faculty of Economics",Croatia,Core Coverage - Actively Indexed
Journal of contemporary religion,1353-7903,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Journal of cooperative studies,0961-5784,,Society for Co-operative Studies,United Kingdom,Core Coverage - Actively Indexed
Journal of corporate citizenship,1470-5001,,Greenleaf Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of criminal law,0022-0183,,Vathek Publishing,United Kingdom,Core Coverage - Actively Indexed
Journal of criminal law and criminology,0091-4169,,Northwestern University School of Law,U.S.A.,Core Coverage - Actively Indexed
Journal of critical realism,1476-7430,,Equinox Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of cross-cultural gerontology,0169-3816,1573-0719,Springer,U.S.A.,Core Coverage - Actively Indexed
Journal of cross-cultural psychology,0022-0221,,Sage Publications Ltd,U.S.A.,Core Coverage - Actively Indexed
Journal of cultural economics,0885-2545,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of cultural geography,0887-3631,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of cultural studies,1595-0956,,African Cultural Initiatives,Nigeria,Core Coverage - Actively Indexed
Journal of democracy,1045-5736,,Johns Hopkins University Press,U.S.A.,Core Coverage - Actively Indexed
Journal of design history,0952-4649,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Journal of developing areas,0022-037X,,"College of Business, Tennessee State University",U.S.A.,Core Coverage - Actively Indexed
Journal of developing societies,0169-796X,,Sage Publications Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of development economics,0304-3878,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of development studies,0022-0388,1743-9140,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of East Asian affairs,1010-1608,,Research Institute for International Affairs,South Korea,Core Coverage - Actively Indexed
Journal of East Asian studies,1598-2408,,Lynne Rienner Publishers Inc.,U.S.A.,Core Coverage - Actively Indexed
Journal of Eastern African studies,1753-1055,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Journal of Eastern Caribbean studies,1028-8813,,Sir Arthur Lewis Institute of Social and Economic Studies,Barbados,Core Coverage - Actively Indexed
Journal of East-West business,1066-9868,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of econometrics,0304-4076,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of economic and social measurement,0747-9662,,IOS Press,Netherlands,Core Coverage - Actively Indexed
Journal of economic behavior and organization,0167-2681,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of economic cooperation and development,1308-7800,,"Statistical, Economic and Social Research and Training Centre for Islamic Countries",Turkey,Core Coverage - Actively Indexed
Journal of economic dynamics and control,0165-1889,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of economic growth,1381-4338,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of economic history,0022-0507,,Cambridge University Press,U.S.A.,Core Coverage - Actively Indexed
Journal of economic issues,0021-3624,,"M.E. Sharpe, Inc.",U.S.A.,Core Coverage - Actively Indexed
Journal of economic literature,0022-0515,,American Economic Association,U.S.A.,Core Coverage - Actively Indexed
Journal of economic methodology,1350-178X,1469-9427,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of economic perspectives,0895-3309,,American Economic Association,U.S.A.,Core Coverage - Actively Indexed
Journal of economic policy reform,1748-7870,,"Routledge, Taylor and Francis",United Kingdom,Core Coverage - Actively Indexed
Journal of economic psychology,0167-4870,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of economic studies,0144-3585,,Emerald Group Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of economic surveys,0950-0804,1467-6419,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of economic theory,0022-0531,,Academic Press,Belgium,Core Coverage - Actively Indexed
Journal of economics [Austria]/Zeitschrift fur Nationalokonomie,0931-8658,,Springer Wien,Austria,Core Coverage - Actively Indexed
Journal of economics [Delhi],0976-5239,,Kamla Raj Enterprises,India,Core Coverage - Actively Indexed
Journal of economics and behavioral studies,2220-6140,,International Foundation for Research & Development,Dubai,Core Coverage - Actively Indexed
Journal of economics and econometrics,2032-9652,2032-9660,Economics and Econometrics Research Institute (EERI),Belgium,Core Coverage - Actively Indexed
Journal of economics and management strategy,1058-6407,1530-9134,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
"Journal of Economics, Finance and Administrative Science",2077-1886,,Universidad ESAN,Peru,Core Coverage - Actively Indexed
Journal of education and work,1363-9080,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of education policy,0268-0939,1464-5106,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
"Journal of elections, public opinion and parties",1745-7289,,Taylor & Francis,United Kingdom,Core Coverage - Actively Indexed
Journal of electronic commerce in organizations,1539-2937,,Idea Group,U.S.A.,Core Coverage - Actively Indexed
Journal of electronic commerce research,1526-6133,,California State University,U.S.A.,Core Coverage - Actively Indexed
Journal of emerging market finance,0972-6527,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Journal of empirical finance,0927-5398,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of energy and natural resources law,0264-6811,,International Bar Association,United Kingdom,Core Coverage - Actively Indexed
Journal of entrepreneurship,0971-3557,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Journal of environment and development,1070-4965,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Journal of environmental assessment policy and management,1464-3332,,World Scientific Publishing Co. Pte Ltd,Singapore,Core Coverage - Actively Indexed
Journal of environmental economics and management,0095-0696,,Academic Press,U.S.A.,Core Coverage - Actively Indexed
Journal of environmental law,0952-8873,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Journal of environmental management,0301-4797,,Academic Press,United Kingdom,Core Coverage - Actively Indexed
Journal of environmental planning and management,0964-0568,1360-0559,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of environmental policy and planning,1523-908X,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Journal of ethnic and migration studies,1369-183X,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of ethnobiology,0278-0771,,Society of Ethnobiology,U.S.A.,Core Coverage - Actively Indexed
Journal of European economic history,0391-5115,,Unicredit Group,Italy,Core Coverage - Actively Indexed
Journal of European integration,0703-6337,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of European integration history/Revue d'histoire de l'integration europeenne/Zeitschrift fur Geschichte der europaischen Integration,0947-9511,,Nomos Verlagsgesellschaft,Germany,Core Coverage - Actively Indexed
Journal of European public policy,1350-1763,1466-4429,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of European social policy,0958-9287,,Sage Publications Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of evolutionary economics,0936-9937,,,Germany,Core Coverage - Actively Indexed
Journal of experimental social psychology,0022-1031,,Academic Press,U.S.A.,Core Coverage - Actively Indexed
Journal of family and economic issues,1058-0476,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of family history,0363-1990,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Journal of family violence,0885-7482,,Springer,U.S.A.,Core Coverage - Actively Indexed
Journal of finance,0022-1082,1540-6261,Wiley-Blackwell Publishing Inc.,U.S.A.,Core Coverage - Actively Indexed
Journal of financial and quantitative analysis,0022-1090,,Cambridge University Press,U.S.A.,Core Coverage - Actively Indexed
Journal of financial economic policy,1757-6385,,Emerald Group Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of financial economics,0304-405X,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Journal of financial intermediation,1042-9573,,Elsevier Science,U.S.A.,Core Coverage - Actively Indexed
Journal of financial services research,0920-8550,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of folklore research,0737-7037,,Indiana University Press,U.S.A.,Core Coverage - Actively Indexed
Journal of forecasting,0277-6693,1099-131X,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of forensic psychiatry and psychology,1478-9949,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of futures markets,0270-7314,1096-9934,Wiley-Blackwell Publishing Ltd.,U.S.A.,Core Coverage - Actively Indexed
Journal of gender studies,0958-9236,1465-3869,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of general management,0306-3070,,Braybrooke Press Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of genocide research,1462-3528,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of GLBT family studies,1550-428X,,"Routledge, Taylor and Francis",U.S.A.,Core Coverage - Actively Indexed
Journal of global analysis,2041-1944,,"Centre for Strategic Research and Analysis, University of Birmingham",United Kingdom,Core Coverage - Actively Indexed
Journal of global ethics,1744-9626,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Journal of global history,1740-0228,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Journal of governance and regulation,2220-9352,2306-6784 ,Virtus Interpress,Ukraine,Core Coverage - Actively Indexed
Journal of health communication,1081-0730,,Taylor & Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of health economics,0167-6296,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
"Journal of health politics, policy and law",0361-6878,,Duke University Press,U.S.A.,Core Coverage - Actively Indexed
Journal of health psychology,1359-1053,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Journal of higher education in Africa/Revue de l'enseignement superieur en Afrique,0851-7762,,CODESRIA,Senegal,Core Coverage - Actively Indexed
Journal of historical sociology,0952-1909,1467-6443,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of homeland security and emergency management,1547-7355,,Berkeley Electronic Press,U.S.A.,Core Coverage - Actively Indexed
Journal of homosexuality,0091-8369,,"Routledge, Taylor and Francis",U.S.A.,Core Coverage - Actively Indexed
Journal of housing and the built environment,1566-4910,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of housing economics,1051-1377,,Elsevier,U.S.A.,Core Coverage - Actively Indexed
Journal of housing research,1052-7001,,American Real Estate Society,U.S.A.,Core Coverage - Actively Indexed
Journal of human development and capabilities,1945-2829,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of human ecology,0970-9274,,Kamla Raj Enterprises,India,Core Coverage - Actively Indexed
Journal of human evolution,0047-2484,,Elsevier,United Kingdom,Core Coverage - Actively Indexed
Journal of human resources,0022-166X,1548-8004,"University of Wisconsin Press, Journals Division",U.S.A.,Core Coverage - Actively Indexed
Journal of human rights,1475-4835,,"Carfax Publishing, Taylor & Francis",United Kingdom,Core Coverage - Actively Indexed
Journal of humanities and natural sciences,0495-8012,,Tokyo Keizai University,Japan,Core Coverage - Actively Indexed
Journal of immigrant and refugee studies,1556-2948,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of Imperial and Commonwealth history,0308-6534,,"Frank Cass, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Journal of income distribution,0926-6437,,Ad Libros Publications Inc.,U.S.A.,Core Coverage - Actively Indexed
Journal of Indian business research,1755-4195,,Emerald Group Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Journal of Indian philosophy,0022-1791,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of Indo-European studies,0092-2323,,Institute for the Study of Man,U.S.A.,Core Coverage - Actively Indexed
Journal of industrial ecology,1088-1980,,John Wiley and Sons Inc.,U.S.A.,Core Coverage - Actively Indexed
Journal of industrial economics,0022-1821,,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Journal of industrial relations,0022-1856,,Sage Publications,Australia,Core Coverage - Actively Indexed
Journal of industry competition and trade,1566-1679,,Springer,Netherlands,Core Coverage - Actively Indexed
Journal of information technology and politics,1933-1681,,"Routledge, Taylor and Francis Ltd.",U.S.A.,Core Coverage - Actively Indexed
Journal of information warfare,1445-3312,1445-3347,,Australia,Core Coverage - Actively Indexed
